,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,decade
0,URN:NBN:no-nb_digibok_2011081905042,Raskt og enkelt,"Myhr , Eirik / Eriksen , Henrik",oai:nb.bibsys.no:990506054614702202,d10647aa4aed547a121e86c44f907752,8278221596,[Oslo],20050101,2005,Spektrum,nob / eng,kokebøker / oppskrifter,641.55,,Faglitteratur,digibok,2000
1,URN:NBN:no-nb_digibok_2011021403012,Ingers kokebok,"Kløkstad , Inger",oai:nb.bibsys.no:990940499714702202,2767da0a0485459215d0674a6e777ef0,,Oslo,20100101,2010,Stenersens forl.,nob,Cooking / kokebøker,641.5635,,Faglitteratur,digibok,2010
2,URN:NBN:no-nb_digibok_2013062138046,Sunne retter uten kjøtt,"Handslip , Carole / Krogsbøl , Hedvig",oai:nb.bibsys.no:999003658624702202,a8f2df924ee236901db279111b7925cb,8204021593,[Oslo],19890101,1989,Fredhøis forlag,nob / eng,vegetarmat / vegetarkost / vegetarretter / kokebøker,641.563,,Faglitteratur,digibok,1980
3,URN:NBN:no-nb_digibok_2010041903042,"Tilbehør til kjøtt, fisk og fjærkre","Sørensen , Ulla / Oftedal , Dorthe Erichsen",oai:nb.bibsys.no:999602319434702202,e1465ae040ab9fd4d43c7d4a0a4a8faa,8251615925,Oslo,19960101,1996,Schibsted,nob / dan,kokebøker / grønnsaksretter,641.8,,Faglitteratur,digibok,1990
4,URN:NBN:no-nb_digibok_2018041148085,Kinesisk,"Stacey , Jenny / Erichsen , Dorthe",oai:nb.bibsys.no:990406630944702202,e2f7033833df5587c3540488d00b1f05,8278220980,,20040101,2004,Spektrum,nob / eng,Kina / kinesisk / mat / kokebøker,641.5951,,Faglitteratur,digibok,2000
5,URN:NBN:no-nb_digibok_2016072248117,Til bords i Babettes gjestebud,"Blixen , Karen / Solvold , Odd Ivar / Mogstad , Sverre Dag",oai:nb.bibsys.no:990419092594702202,9783bff7148df9f5f510a9d7c16a305c,8252557139 / 8292496114,,20040101,2004,Kom forl.,nob,Dansk litteratur / Film / Mattradisjoner / dansk / litteratur / matkultur / matoppskrifter / selskapsmat / kokebøker / matlaging / oppskrifter / danske / spillefilmer / 1980 / tallet / måltidet / sosialt / samvær,641.568,,Faglitteratur,digibok,2000
6,URN:NBN:no-nb_digibok_2013080806086,Sopp : en fristende samling med herlige retter,"Mackley , Lesley / Frydenlund , Hege",oai:nb.bibsys.no:990613003494702202,9e996cd346481c10d46282dde5544397,8278223696,[Oslo],20060101,2006,Spektrum,nob / eng,kokebøker / sopp / matlaging / matoppskrifter / soppretter,641.658 / 641.5,,Faglitteratur,digibok,2000
7,URN:NBN:no-nb_digibok_2011022503033,Surpølse,"Christie , Helge / Ness , Helge",oai:nb.bibsys.no:990800969564702202,684a2e804a8aee3efa61c9269ff9b5b4,,,20070101,2007,Arbeidets rett,nob,Tradisjoner / Mat / mathistorie / verdensarvmat / surpølse / norge / sverige / italia / thailand / pølser / pølsemakeri / tradisjonsmat,641.66 / 641.66,,Faglitteratur,digibok,2000
8,URN:NBN:no-nb_digibok_2011032803018,"Aschehougs store kokebok : over 400 oppskrifter, over 1000 fargebilder","Kellermann , Monika / Eising , Susi / Eising , Pete A. / Strømstad , Aase / Høydalsnes , Ann",oai:nb.bibsys.no:990300962514702202,31de0989d04c3cb5d9a545100f76f22e,8203227872,Oslo,20030101,2003,Aschehoug,nob / ger,kokebok / oppskrifter / kokebøker / matlaging,641.5,,Faglitteratur,digibok,2000
9,URN:NBN:no-nb_digibok_2017062948065,God mat : den moderne kokebok i farger med over 300 illustrerte oppskrifter,"Berry , Mary / Body , Ann / Ellis , Audrey / Strømstad , Aase",oai:nb.bibsys.no:999100098054702202,7052883d7c8fa8af905dd2807b252083,,Oslo,19710101,1971,Cappelen,nob / eng,,641.5,,Faglitteratur,digibok,1970
10,URN:NBN:no-nb_digibok_2011080106113,Med barna på kjøkkenet,"Collister , Linda / Davies , Vanessa / Davies , Vanessa / Øygard , Bente-Lill / Øygard , Terje",oai:nb.bibsys.no:990419393794702202,b8f328662b8fab85a5d95887571da851,8204092938,[Oslo],20040101,2004,Damm,nob / eng,baking / kokebøker / barn / matlaging,641.512,,Faglitteratur,digibok,2000
11,URN:NBN:no-nb_digibok_2011021403020,Søtt for gud og hvermann,"Lian , Lars / Arnesen , Anette",oai:nb.bibsys.no:990925965174702202,4017c4f791dbf411561813edda0843e9,,[Oslo],20090101,2009,Exlibriz,nob,kokebøker,641.86,,Faglitteratur,digibok,2000
